iter	Passed	Remaining
765	2356	720
766	2363	718
767	2366	714
768	2368	711
769	2370	708
770	2373	705
771	2376	701
772	2381	699
773	2383	695
774	2385	692
775	2387	689
776	2390	686
777	2392	682
778	2394	679
779	2408	679
780	2410	676
781	2418	674
782	2421	671
783	2424	668
784	2426	664
785	2429	661
786	2431	658
787	2433	654
788	2439	652
789	2441	649
790	2444	645
791	2446	642
792	2449	639
793	2452	636
794	2454	632
795	2457	629
796	2459	626
797	2479	627
798	2482	624
799	2487	621
800	2490	618
801	2492	615
802	2494	612
803	2496	608
804	2499	605
805	2501	602
806	2503	598
807	2505	595
808	2508	592
809	2510	588
810	2512	585
811	2522	584
812	2524	580
813	2526	577
814	2529	574
815	2532	570
816	2534	567
817	2536	564
818	2538	560
819	2540	557
820	2542	554
821	2545	551
822	2547	547
823	2557	546
824	2559	542
825	2562	539
826	2564	536
827	2566	533
828	2572	530
829	2574	527
830	2577	524
831	2580	520
832	2582	517
833	2584	514
834	2587	511
835	2590	508
836	2593	504
837	2595	501
838	2597	498
839	2599	495
840	2624	496
841	2626	492
842	2629	489
843	2632	486
844	2634	483
845	2637	480
846	2639	476
847	2643	473
848	2645	470
849	2648	467
850	2650	464
851	2653	460
852	2655	457
853	2657	454
854	2672	453
855	2675	450
856	2678	446
857	2680	443
858	2704	444
859	2707	440
860	2709	437
861	2718	435
862	2724	432
863	2736	430
864	2739	427
865	2745	424
866	2748	421
867	2751	418
868	2754	415
869	2756	411
870	2759	408
871	2762	405
872	2764	402
873	2766	398
874	2768	395
875	2770	392
876	2773	388
877	2776	385
878	2778	382
879	2780	379
880	2783	375
881	2785	372
882	2795	370
883	2797	367
884	2799	363
885	2801	360
886	2804	357
887	2806	353
888	2808	350
889	2810	347
890	2813	344
891	2815	340
892	2818	337
893	2820	334
894	2822	331
895	2824	327
896	2827	324
897	2841	322
898	2843	319
899	2855	317
900	2857	313
901	2860	310
902	2863	307
903	2871	304
904	2874	301
905	2876	298
906	2879	295
907	2881	291
908	2883	288
909	2886	285
910	2889	282
911	2891	279
912	2894	275
913	2896	272
914	2898	269
915	2901	266
916	2903	262
917	2906	259
918	2908	256
919	2910	253
920	2912	249
921	2915	246
922	2918	243
923	2920	240
924	2923	237
925	2925	233
926	2927	230
927	2930	227
928	2932	224
929	2934	220
930	2937	217
931	2939	214
932	2941	211
933	2944	208
934	2945	204
935	2948	201
936	2950	198
937	2952	195
938	2955	191
939	2957	188
940	2965	185
941	2967	182
942	2970	179
943	2973	176
944	2975	173
945	2978	169
946	2980	166
947	2982	163
948	2985	160
949	2988	157
950	2990	154
951	2992	150
952	2995	147
